"","spp","ncells","nrecords","span"
"171","Cicuta maculata",46,75,316064.870042061
"172","Isoetes orcuttii",74,133,315875.677021204
"173","Callitriche longipedunculata",38,42,315393.532296242
"174","Erysimum ammophilum",35,131,314961.650505173
"175","Glyptopleura marginata",90,100,314324.656220824
"176","Chloropyron maritimum",135,269,313912.357363276
"177","Carex pansa",34,58,313601.543414971
"178","Puccinellia nutkaensis",8,11,313312.60478554
"179","Lycopus asper",13,18,312724.455707928
"180","Samolus parviflorus",104,140,312170.62439388
"181","Dalea searlsiae",29,50,311284.472347353
"182","Geranium bicknellii",19,21,311198.378880925
"183","Carex leptalea",11,22,311006.079907846
"184","Elatine rubella",26,28,310719.509281586
"185","Muhlenbergia montana",73,106,310399.713372491
"186","Phlox condensata",86,129,309773.277011929
"187","Eriogonum pusillum",566,829,308776.678210105
"188","Phalaris angusta",41,57,308474.865336502
"189","Penstemon rattanii",25,46,308465.011891163
"190","Orthilia secunda",236,288,307895.087783504
"191","Salix petrophila",45,59,307607.91794072
"192","Hydrocotyle umbellata",45,65,307445.512048818
"193","Cryptantha hoffmannii",19,23,306501.930521183
"194","Leptosiphon septentrionalis",12,17,306214.828118276
"195","Juncus covillei",123,168,304885.387904956
"196","Zostera pacifica",7,7,304777.521592083
"197","Pinus attenuata",258,390,304682.419116182
"198","Limonium californicum",111,179,304673.604462325
"199","Streptanthella longirostris",356,528,304627.81828141
"200","Malva assurgentiflora",34,77,304149.57907244
"201","Ruppia maritima",77,118,304034.474380647
"202","Tripterocalyx micranthus",5,5,303945.833450508
"203","Elodea nuttallii",23,32,303770.298585908
"204","Carex praeceptorum",58,96,303262.801150733
"205","Juncus longistylis",34,48,303146.942803275
"206","Phacelia glandulifera",13,18,303045.75597557
"207","Micropus amphibolus",47,65,302694.676317409
"208","Mimulus rattanii",62,93,302055.093237881
"209","Eriogonum luteolum",366,601,301572.661280746
"210","Perideridia gairdneri",92,146,300544.840221463
"211","Claytonia palustris",44,77,300100.794393455
"212","Lasthenia conjugens",44,89,299936.645786653
"213","Tauschia howellii",4,7,298996.556571749
"214","Navarretia prostrata",53,112,298754.072336279
"215","Ivesia baileyi",11,19,298541.928530309
"216","Silene oregana",11,13,296817.696751458
"217","Symphoricarpos longiflorus",89,158,296524.535990149
"218","Glyceria grandis",13,18,295847.240004813
"219","Hymenoxys lemmonii",26,34,295463.527766502
"220","Pectocarya setosa",482,604,295424.911068224
"221","Eryngium armatum",102,151,294916.957630109
"222","Mimulus congdonii",61,87,294224.015117846
"223","Allium amplectens",334,424,294201.485031852
"224","Zeltnera exaltata",147,192,293424.531652215
"225","Botrychium ascendens",6,8,292449.177335702
"226","Stephanomeria pauciflora",636,889,291831.317302949
"227","Juncus occidentalis",248,345,291646.647055097
"228","Sidalcea keckii",26,31,291398.439748621
"229","Lewisia kelloggii",24,29,290345.142595908
"230","Meconella oregana",5,9,290220.078017419
"231","Piperia michaelii",45,57,289491.015327969
"232","Polystichum scopulinum",84,112,289232.674232586
"233","Cuscuta brachycalyx",12,14,289066.343953068
"234","Gentiana affinis",53,77,289040.495651148
"235","Viola sheltonii",108,140,288082.801504316
"236","Thelypodium integrifolium",36,109,287991.621585351
"237","Allium diabolense",41,56,287683.22705108
"238","Cryptantha dissita",27,40,286890.475472519
"239","Sagittaria latifolia",89,132,286555.535049872
"240","Epilobium clavatum",12,14,286001.882566298
"241","Anemopsis californica",401,607,285782.233924936
"242","Nuphar polysepala",89,131,285276.328148432
"243","Epilobium hornemannii",116,138,285031.709087368
"244","Delphinium variegatum",407,582,284850.259809645
"245","Epilobium anagallidifolium",66,80,284749.40485018
"246","Sagittaria cuneata",88,152,284355.776205668
"247","Galium mexicanum",37,45,284033.497871246
"248","Pseudognaphalium canescens",67,87,283901.385888854
"249","Chaenactis stevioides",761,1067,283289.900174913
"250","Senecio fremontii",178,280,283034.949312003
"251","Tolmiea diplomenziesii",45,52,282923.0190175
"252","Alopecurus carolinianus",51,81,282540.216359919
"253","Packera indecora",8,8,282285.023135721
"254","Aristida ternipes",103,158,282100.594157112
"255","Carex vallicola",9,11,281542.575784904
"256","Stuckenia striata",13,17,281526.856380134
"257","Lupinus pusillus",8,11,281416.534901986
"258","Penstemon humilis",20,32,281407.570926733
"259","Boechera pratincola",14,15,280329.542463971
"260","Arctostaphylos uva-ursi",106,306,280324.179290571
"261","Sibbaldia procumbens",171,220,280008.141013236
"262","Lupinus tidestromii",24,59,279343.162582911
"263","Pyrola chlorantha",2,2,278977.546430056
"264","Ozomelis diversifolia",36,47,278466.952687862
"265","Thelypodium laciniatum",29,50,278353.887539579
"266","Festuca californica",378,520,277977.329742331
"267","Oenothera cespitosa",153,234,276781.416762477
"268","Stachys bullata",427,642,276420.353789759
"269","Myriophyllum sibiricum",80,111,276130.304874064
"270","Pinus torreyana",41,147,276106.196962679
"271","Oreostemma alpigenum",516,803,276103.379067847
"272","Trillium angustipetalum",36,43,275837.442332043
"273","Chaetopappa ericoides",74,94,275726.272487978
"274","Cirsium arizonicum",31,59,275049.873100962
"275","Juncus hemiendytus",125,165,275030.246622677
"276","Festuca occidentalis",397,548,274910.849011807
"277","Lupinus arbustus",200,287,274603.111577652
"278","Stipa divaricata",11,16,274413.914568192
"279","Chaenactis xantiana",268,369,273515.408965746
"280","Eleocharis radicans",70,113,273309.536087786
"281","Callitriche heterophylla",140,188,272977.929628577
"282","Micromonolepis pusilla",14,18,272770.677159143
"283","Euphorbia fendleri",32,50,272561.062084119
"284","Thalictrum occidentale",4,6,272182.635437984
"285","Viola nephrophylla",41,49,271669.290883633
"286","Boechera pinetorum",147,198,271246.984059861
"287","Layia carnosa",51,107,271189.128949204
"288","Limosella acaulis",124,192,270829.512677852
"289","Wolffiella lingulata",18,33,270533.88483939
"290","Hymenoxys cooperi",107,168,269585.873088976
"291","Phyllodoce breweri",383,601,269366.438578535
"292","Nitrophila occidentalis",136,213,268663.690575674
"293","Eremothera boothii",1032,1391,268616.184496082
"294","Atriplex confertifolia",333,579,268303.827897672
"295","Vaccinium ovatum",490,835,268132.965011942
"296","Tetradymia spinosa",22,28,267908.352226611
