"","spp","ncells","nrecords","span"
"2895","Spergularia macrotheca",324,535,86222.0117482103
"2896","Stipa nevadensis",135,182,86091.7021565507
"2897","Clinopodium mimuloides",46,79,86034.6116227208
"2898","Chlorogalum grandiflorum",10,17,86016.3109613488
"2899","Luina hypoleuca",67,94,85977.3492890216
"2900","Calystegia macrostegia",1149,1821,85977.3218082421
"2901","Venegasia carpesioides",304,595,85969.3533597273
"2902","Ranunculus bonariensis",52,75,85922.0194305269
"2903","Aliciella ripleyi",24,29,85861.5630147257
"2904","Purshia tridentata",956,1415,85857.8286454645
"2905","Epilobium septentrionale",25,43,85796.5775913731
"2906","Crocanthemum scoparium",743,1186,85764.9345616796
"2907","Eriogonum ursinum",151,240,85731.3134179323
"2908","Carex atherodes",6,12,85714.9511958618
"2909","Vicia gigantea",101,127,85713.8529348572
"2910","Lupinus truncatus",621,858,85655.3573175917
"2911","Erigeron eatonii",153,199,85613.7638711348
"2912","Astragalus magdalenae",36,67,85611.4155109728
"2913","Phacelia procera",82,100,85560.5795901052
"2914","Hosackia rosea",27,45,85522.9054906878
"2915","Senecio hydrophiloides",34,49,85516.5694896612
"2916","Penstemon gracilentus",194,281,85503.7667749012
"2917","Dicentra uniflora",94,109,85481.9500346932
"2918","Juncus balticus",618,790,85478.633137222
"2919","Lomatium grayi",4,4,85472.2511532371
"2920","Pentachaeta exilis",93,137,85454.0337911235
"2921","Triphysaria pusilla",156,196,85406.3398079167
"2922","Persicaria amphibia",299,493,85404.141928903
"2923","Piperia elegans",49,76,85400.0024048074
"2924","Mimulus fremontii",329,471,85383.1425088262
"2925","Phacelia mustelina",25,37,85375.46092085
"2926","Asplenium trichomanes",2,3,85362.7729595939
"2927","Extriplex californica",231,395,85350.9288832888
"2928","Epilobium saximontanum",15,17,85259.5984647153
"2929","Athysanus pusillus",710,895,85211.3039568528
"2930","Crepis bakeri",36,54,85199.1871276957
"2931","Nothocalais troximoides",30,30,85172.4368214328
"2932","Cryptantha fendleri",5,10,85152.8623412339
"2933","Salvia apiana",645,860,85150.5477195686
"2934","Dicoria canescens",185,326,85065.430178737
"2935","Malacothamnus marrubioides",47,65,84990.8125103759
"2936","Morella californica",282,499,84927.3454520987
"2937","Carex gynodynama",47,83,84907.9122600201
"2938","Penstemon eatonii",128,188,84857.9207822017
"2939","Cryptantha intermedia",1579,2255,84797.1507133593
"2940","Lithophragma glabrum",163,218,84793.2337838007
"2941","Eriophyllum pringlei",324,411,84789.2455824311
"2942","Caulanthus lasiophyllus",1179,1609,84741.7183866266
"2943","Daucus pusillus",670,879,84659.1881606559
"2944","Clarkia epilobioides",336,494,84597.9633830635
"2945","Delphinium trolliifolium",26,42,84492.1889427107
"2946","Lessingia pectinata",143,230,84485.7315901646
"2947","Cymopterus panamintensis",96,133,84437.0319731107
"2948","Sidalcea oregana",425,680,84389.0007809768
"2949","Eriogonum evanidum",18,48,84332.3002011924
"2950","Eriogonum brachyanthum",165,250,84321.4077054521
"2951","Clarkia speciosa",160,277,84242.6071622677
"2952","Mimulus kelloggii",119,160,84218.72280487
"2953","Prosartes smithii",69,90,84073.7908903363
"2954","Penstemon stephensii",38,68,84034.5443689843
"2955","Leucothoe davisiae",185,281,84014.266956987
"2956","Polystichum dudleyi",57,94,84000.5284465617
"2957","Forestiera pubescens",267,407,83963.7587037623
"2958","Gnaphalium palustre",1118,1539,83944.9434694631
"2959","Corylus cornuta",470,649,83944.305319903
"2960","Phacelia vallis-mortae",189,245,83917.0651350699
"2961","Osmorhiza brachypoda",297,384,83911.7980894129
"2962","Boechera pygmaea",27,41,83867.5350863062
"2963","Poa howellii",291,429,83805.3910059633
"2964","Phacelia imbricata",610,799,83708.0796312441
"2965","Ericameria cuneata",491,733,83705.2113291578
"2966","Stephanomeria virgata",568,742,83690.149289764
"2967","Anemone drummondii",93,140,83678.8884883854
"2968","Calochortus excavatus",24,30,83661.9188748565
"2969","Gayophytum ramosissimum",55,66,83656.1738744021
"2970","Leucosyris carnosa",98,181,83606.5263951584
"2971","Lupinus microcarpus",1278,1838,83554.2479480293
"2972","Lupinus onustus",38,59,83428.9803629261
"2973","Athyrium distentifolium",102,132,83415.969217961
"2974","Euphorbia micromera",239,324,83231.1991028163
"2975","Ribes nevadense",684,1034,83212.3751181431
"2976","Arctostaphylos nissenana",35,175,83194.8826561223
"2977","Zeltnera muehlenbergii",198,279,83187.3207001223
"2978","Physalis lobata",18,34,83181.9077409224
"2979","Ceanothus leucodermis",914,1428,83130.5596186532
"2980","Stipa lepida",764,1144,83120.7409191396
"2981","Silene grayi",78,116,83084.731089982
"2982","Logfia filaginoides",954,1242,83069.2884433086
"2983","Acer macrophyllum",841,1258,82967.7262085405
"2984","Stebbinsoseris heterocarpa",308,439,82943.8936190329
"2985","Echinocereus engelmannii",199,283,82940.6917899073
"2986","Phacelia stellaris",23,45,82938.4968214416
"2987","Carex capitata",85,143,82924.9646110297
"2988","Mucronea californica",181,345,82895.5386968568
"2989","Geum triflorum",124,155,82863.743770186
"2990","Nemacladus sigmoideus",304,390,82855.4913770302
"2991","Montia parvifolia",204,271,82830.3581301399
"2992","Monardella hypoleuca",102,167,82733.9064545568
"2993","Stephanomeria diegensis",194,251,82723.7275806445
"2994","California macrophylla",159,223,82722.3049734516
"2995","Cuscuta denticulata",67,96,82710.2647478518
"2996","Pogogyne serpylloides",89,130,82709.6631718632
"2997","Microseris laciniata",98,142,82659.7614109564
"2998","Uropappus lindleyi",1212,1587,82583.9448220762
"2999","Atriplex pacifica",54,98,82569.4967330701
"3000","Platanus racemosa",562,842,82565.6984804781
"3001","Clarkia williamsonii",134,240,82539.6685090516
"3002","Castilleja foliolosa",877,1195,82520.6712515816
"3003","Phacelia lyonii",33,63,82492.6582926009
"3004","Lycium fremontii",66,112,82478.58468982
"3005","Whipplea modesta",336,421,82442.2296574375
"3006","Tropidocarpum gracile",586,831,82433.8905456653
"3007","Sidalcea hirsuta",84,121,82406.9024886536
"3008","Woodwardia fimbriata",369,568,82332.5138797489
"3009","Allium crispum",123,159,82206.15923925
"3010","Madia anomala",20,35,82167.016550176
"3011","Encelia virginensis",107,141,82110.8820447117
"3012","Sedum divergens",7,12,82107.5813013585
"3013","Jamesia americana",110,176,82083.0915833158
"3014","Melica imperfecta",1598,2396,82003.8664903854
"3015","Poa pringlei",71,109,81971.3380160902
"3016","Cryptantha scoparia",16,29,81948.1817729112
"3017","Phacelia fremontii",738,956,81893.1880996229
"3018","Polypodium glycyrrhiza",77,94,81877.3763714293
"3019","Galium grayanum",102,164,81874.6344440653
"3020","Leptosiphon oblanceolatus",34,50,81850.5768665679
"3021","Goodyera oblongifolia",117,138,81816.8870939237
"3022","Eriogonum strictum",156,235,81814.3395956148
"3023","Sesbania herbacea",27,51,81809.82404878
"3024","Lomatium dissectum",150,206,81780.7263619877
"3025","Eustoma exaltatum",52,81,81672.4757270929
"3026","Layia fremontii",164,238,81658.0885797544
"3027","Antennaria flagellaris",6,6,81613.7417599299
"3028","Muhlenbergia rigens",429,573,81613.021392756
"3029","Fraxinus velutina",237,456,81603.762420368
"3030","Encelia frutescens",355,523,81542.5838432493
"3031","Lithospermum californicum",77,97,81542.4658291514
"3032","Githopsis tenella",5,8,81497.4720317642
"3033","Stillingia paucidentata",90,124,81482.4738431549
"3034","Erigeron canadensis",785,1006,81471.5621710127
"3035","Pedicularis dudleyi",14,29,81456.4017958577
"3036","Cryptantha decipiens",314,409,81433.5036474931
"3037","Stillingia linearifolia",362,550,81397.8850745787
"3038","Stipa nelsonii",145,185,81281.853357503
"3039","Rigiopappus leptocladus",450,601,81277.2560710794
"3040","Castilleja arachnoidea",173,256,81218.4171501388
"3041","Thalictrum fendleri",844,1273,81215.6878089539
"3042","Anemone oregana",44,52,81181.9225292582
"3043","Horkelia cuneata",254,440,81175.6665554004
"3044","Opuntia littoralis",111,164,81159.0643646868
"3045","Calochortus striatus",47,76,81156.0596302355
"3046","Ranunculus californicus",681,959,81108.159479451
"3047","Leptosiphon croceus",10,14,81022.2714074929
"3048","Gilia clivorum",251,329,80952.3888748224
"3049","Eremalche parryi",275,463,80870.7152446775
"3050","Lathyrus japonicus",16,30,80843.639903801
"3051","Campanula griffinii",31,40,80781.6213563587
"3052","Lupinus arboreus",382,694,80735.0556708769
"3053","Navarretia viscidula",106,144,80647.1344978964
"3054","Phacelia ivesiana",55,72,80599.632451606
"3055","Encelia farinosa",749,1188,80598.7419591058
"3056","Elymus cinereus",199,262,80540.7229152731
"3057","Monolopia major",101,143,80447.390482597
"3058","Epilobium densiflorum",510,667,80418.7791563566
"3059","Stylocline intertexta",50,56,80416.3479205606
"3060","Damasonium californicum",100,151,80394.3434742349
"3061","Adenophyllum cooperi",255,367,80387.5186857449
"3062","Silene laciniata",1040,1468,80320.0519835257
"3063","Euphorbia albomarginata",646,774,80104.7702548488
"3064","Cryptantha hispidula",63,94,79976.7416742395
"3065","Nemophila pulchella",119,172,79969.5691678487
"3066","Euphorbia ocellata",263,368,79904.0604490855
"3067","Asclepias speciosa",155,201,79883.9447302057
"3068","Clarkia exilis",29,56,79867.7667298457
"3069","Perideridia bolanderi",161,201,79833.4505602317
"3070","Harmonia hallii",31,64,79829.4557051101
"3071","Vahlodea atropurpurea",6,13,79825.5313774205
"3072","Eriogonum kennedyi",160,349,79796.5315722646
"3073","Triteleia bridgesii",97,126,79788.6543544924
"3074","Rosa nutkana",104,164,79771.2128604971
"3075","Calochortus minimus",67,92,79771.1998927057
"3076","Nicotiana quadrivalvis",325,418,79751.0342119328
"3077","Bromus laevipes",427,584,79706.0081817914
"3078","Micropus californicus",799,1095,79637.3112922825
"3079","Allium hickmanii",26,51,79618.3494181626
"3080","Baileya pleniradiata",339,460,79615.3079747174
"3081","Heteromeles arbutifolia",984,1442,79611.9418666972
"3082","Mentha canadensis",304,390,79524.8242710433
"3083","Packera ionophylla",150,239,79512.3076417992
"3084","Cacaliopsis nardosmia",65,89,79501.0743664271
"3085","Stipa hymenoides",727,1059,79470.5853019075
"3086","Bromus suksdorfii",164,205,79453.2117395915
"3087","Minuartia stricta",13,16,79441.1518114521
"3088","Athysanus unilateralis",44,64,79415.8841897587
"3089","Scirpus microcarpus",637,847,79391.7710454653
"3090","Boechera perennans",258,352,79384.5290267624
"3091","Nama depressa",47,60,79382.2177014292
"3092","Astragalus nuttallianus",191,245,79371.9077524588
"3093","Brickellia desertorum",193,318,79162.4396958865
"3094","Parkinsonia microphylla",58,101,79101.8549852037
"3095","Cryptantha inaequata",55,79,79048.0323949841
"3096","Xylococcus bicolor",298,572,79008.9390771364
"3097","Fritillaria atropurpurea",125,148,78973.3059833903
"3098","Arceuthobium douglasii",5,7,78911.4268143439
"3099","Packera pauciflora",85,121,78856.885412803
"3100","Arctostaphylos nummularia",163,403,78853.239004814
"3101","Monardella exilis",86,150,78838.3896361788
"3102","Stylocline psilocarphoides",95,107,78830.9259404766
"3103","Keckiella corymbosa",258,412,78799.5036391383
"3104","Mucronea perfoliata",115,147,78798.6741023364
"3105","Quercus dumosa",208,401,78661.3760749706
"3106","Stanleya viridiflora",9,12,78660.3589298777
"3107","Chylismia munzii",24,33,78657.9361899199
"3108","Pseudostellaria jamesiana",183,252,78538.1116906239
"3109","Chlorogalum angustifolium",58,78,78525.8556590803
"3110","Aquilegia formosa",922,1223,78487.5625844926
"3111","Eriogonum eremicola",8,31,78476.9225462676
"3112","Vaccinium uliginosum",237,340,78383.1651393934
"3113","Sibara deserti",63,96,78318.892565757
"3114","Phacelia racemosa",69,89,78273.1999089093
"3115","Atriplex parryi",89,154,78230.2660981098
"3116","Selaginella eremophila",63,101,78210.6242324279
"3117","Gutierrezia sarothrae",436,621,78177.1975189111
"3118","Cuscuta californica",788,1067,78135.4001306119
"3119","Plagiobothrys collinus",548,815,78016.9556758334
"3120","Acanthoscyphus parishii",168,369,77925.3943012158
"3121","Persicaria lapathifolia",545,750,77899.0845397487
"3122","Echinocactus polycephalus",41,65,77894.0547779787
"3123","Romneya coulteri",124,181,77885.3429134466
"3124","Ribes californicum",392,665,77841.3020751267
"3125","Calliandra eriophylla",65,109,77827.6428058904
"3126","Artemisia cana",139,221,77813.7234796341
"3127","Eriogonum marifolium",288,510,77812.4021101588
"3128","Pyrrocoma apargioides",244,363,77806.723206551
"3129","Clinopodium douglasii",206,285,77774.5346662474
"3130","Selaginella wallacei",103,147,77762.9951371046
"3131","Sidalcea reptans",35,48,77738.6994290626
"3132","Delphinium andersonii",70,96,77684.7924989491
"3133","Lathyrus sulphureus",297,406,77648.871640751
"3134","Leucosyris arida",67,113,77559.9317129278
"3135","Salix exigua",1257,2683,77543.7844840263
"3136","Helenium puberulum",394,570,77488.5605206357
"3137","Castilleja latifolia",152,308,77470.4729115729
"3138","Sphaeralcea angustifolia",62,86,77452.4836315242
"3139","Neoholmgrenia andina",33,39,77445.9060485995
"3140","Fritillaria viridea",13,19,77403.62268208
"3141","Carex vesicaria",231,352,77377.6842775014
"3142","Ditaxis serrata",89,121,77304.6243679102
"3143","Taraxia ovata",116,168,77295.3436799302
"3144","Boechera xylopoda",219,280,77273.8294017555
"3145","Alnus incana",305,440,77213.2156391054
"3146","Adenophyllum porophylloides",186,268,77202.0947844325
"3147","Pinus longaeva",66,174,77193.1622326959
"3148","Ditaxis lanceolata",253,388,77139.1476859455
"3149","Astragalus congdonii",14,36,77119.7853410608
"3150","Hulsea nana",33,67,77118.4732427795
"3151","Bromus pseudolaevipes",96,122,77075.884048826
"3152","Ericameria teretifolia",255,407,77071.4193400939
"3153","Penstemon janishiae",12,20,77034.8260614774
"3154","Fritillaria glauca",44,62,76943.0755477081
"3155","Cistanthe maritima",44,73,76920.1544148813
"3156","Berberis aquifolium",654,920,76868.1606806944
"3157","Ceanothus fresnensis",74,116,76847.1984761185
"3158","Physocarpus alternans",16,43,76836.9302604213
"3159","Toxicoscordion paniculatum",121,142,76774.623119592
"3160","Tauschia hartwegii",145,176,76755.6702844456
"3161","Deinandra kelloggii",261,439,76726.5862798286
"3162","Erigeron aliceae",43,63,76715.0323576313
"3163","Brickellia greenei",80,113,76709.7989655517
"3164","Trifolium albopurpureum",606,782,76692.5536742098
"3165","Plagiobothrys nitens",3,8,76659.7524164364
"3166","Carex schottii",53,98,76650.0234146963
"3167","Downingia montana",30,53,76641.2978230496
"3168","Delphinium decorum",140,186,76596.5158164887
"3169","Comastoma tenellum",32,56,76587.1380927794
"3170","Rhus aromatica",870,1249,76586.6724178223
"3171","Allium obtusum",126,151,76552.9638683017
"3172","Oxystylis lutea",37,93,76507.0743096115
"3173","Phacelia humilis",187,285,76504.0947844563
"3174","Lessingia leptoclada",200,369,76502.5176450969
"3175","Chenopodium nevadense",6,6,76432.9222097125
"3176","Monardella breweri",468,700,76390.176112611
"3177","Oenothera xylocarpa",27,31,76349.8699683697
"3178","Plagiobothrys diffusus",9,16,76267.9688634986
"3179","Allium sanbornii",58,87,76211.8535588973
"3180","Ehrendorferia chrysantha",507,695,76180.4166692383
"3181","Cerastium beeringianum",25,39,76066.3923433182
"3182","Euphorbia crenulata",230,268,76041.1128860758
"3183","Pedicularis howellii",15,28,76005.1730569697
"3184","Quercus garryana",634,1033,76000.9923095683
"3185","Nicolletia occidentalis",149,241,75986.8858887468
"3186","Gaultheria shallon",312,456,75965.9433403205
"3187","Hesperocyparis macnabiana",188,437,75951.7712693552
"3188","Stellaria nitens",316,411,75901.181572424
"3189","Veronica peregrina",511,668,75837.7515369037
"3190","Lithophragma parviflorum",226,268,75733.7654879609
"3191","Empetrum nigrum",5,13,75704.4980477488
"3192","Phacelia egena",319,402,75666.5357953715
"3193","Bromus richardsonii",11,12,75628.7372006165
"3194","Tetradymia comosa",196,294,75612.433570151
"3195","Leucocrinum montanum",35,46,75586.6594851222
"3196","Mimulus bicolor",176,247,75540.0725724336
"3197","Lessingia virgata",38,61,75523.3472017905
"3198","Deinandra mohavensis",77,169,75513.9735080276
"3199","Prenanthella exigua",174,221,75511.940337224
"3200","Madia exigua",595,827,75498.5493432505
"3201","Streptanthus polygaloides",97,176,75460.5530913299
"3202","Ephedra nevadensis",489,799,75458.9337637775
"3203","Galium porrigens",629,810,75417.0672605024
"3204","Chamaesaracha nana",113,152,75411.511079494
"3205","Populus fremontii",666,1025,75400.0893866555
"3206","Poa glauca",91,118,75346.3803582276
"3207","Frangula californica",2043,3710,75264.4356461919
"3208","Eucrypta chrysanthemifolia",960,1321,75181.2390559192
"3209","Calycoseris parryi",330,437,75161.2276413548
"3210","Iris douglasiana",209,260,75154.7267500543
"3211","Eriogonum cithariforme",220,335,75152.0897625087
"3212","Scoliopus bigelovii",64,105,75018.9024050381
"3213","Psathyrotes annua",107,146,74960.850155502
"3214","Vancouveria planipetala",158,213,74802.8038368511
"3215","Lomatium utriculatum",712,905,74793.494943178
"3216","Pellaea andromedifolia",696,952,74739.7485613613
"3217","Acer circinatum",163,242,74735.9268655806
"3218","Ageratina occidentalis",338,474,74701.2358434731
"3219","Orcuttia californica",30,101,74662.4787798892
"3220","Darmera peltata",100,129,74661.8868498375
"3221","Phacelia suaveolens",24,49,74615.9059795613
"3222","Aliciella hutchinsifolia",31,46,74603.5200798099
"3223","Delphinium californicum",72,135,74573.0090001865
"3224","Microseris acuminata",96,112,74553.9126802684
"3225","Ehrendorferia ochroleuca",67,83,74522.6771466372
"3226","Monotropa hypopitys",32,37,74494.7870237535
"3227","Monolopia lanceolata",300,442,74389.8654685971
"3228","Eriogonum gracilipes",45,91,74369.9558083655
"3229","Fremontodendron decumbens",11,58,74359.8272404486
"3230","Angelica arguta",48,65,74322.0352562506
"3231","Allium hoffmanii",44,70,74262.6464401219
"3232","Eriophyllum staechadifolium",232,404,74247.560325675
"3233","Clarkia unguiculata",616,849,74235.6895182656
"3234","Trichostema ovatum",59,115,74191.9554179861
"3235","Fallugia paradoxa",107,175,74137.2959085084
"3236","Ceanothus cyaneus",46,89,74134.5061558595
"3237","Luzula divaricata",164,203,74128.5555516616
"3238","Antirrhinum filipes",192,230,74106.1569776425
"3239","Luetkea pectinata",61,91,74100.3125310704
"3240","Cistanthe ambigua",115,151,74054.4415339042
"3241","Stipa pulchra",811,1200,74053.8288612545
"3242","Allium acuminatum",73,89,74021.3638449324
"3243","Perideridia lemmonii",128,184,73996.9286488694
"3244","Atriplex cordulata",67,153,73943.0561694092
"3245","Phacelia heterophylla",290,353,73931.7500711227
"3246","Nasturtium officinale",686,882,73905.6499248845
"3247","Boechera glaucovalvula",54,84,73863.0957571212
"3248","Phacelia neglecta",82,98,73841.8312484214
"3249","Chorizanthe membranacea",292,409,73831.5922139011
"3250","Mentzelia involucrata",421,555,73822.179843855
"3251","Sedella pumila",187,259,73741.2565777322
"3252","Collomia diversifolia",78,105,73723.9121238823
"3253","Cheilanthes viscida",99,163,73692.4749747378
"3254","Malacothamnus densiflorus",136,184,73673.8127339616
"3255","Nemophila pedunculata",404,526,73656.167501436
"3256","Antennaria pulchella",91,109,73644.1626575652
"3257","Ceanothus prostratus",517,729,73608.1606825256
"3258","Carex triquetra",203,287,73563.7554846188
"3259","Gilmania luteola",24,47,73527.9920533121
"3260","Hesperocyparis bakeri",67,209,73527.9659645528
"3261","Ceanothus perplexans",334,536,73487.3648744612
"3262","Eriastrum hooveri",48,66,73484.6760673777
"3263","Cryptantha watsonii",51,75,73441.6470578967
"3264","Brodiaea appendiculata",53,74,73373.4691475794
"3265","Lessingia tenuis",83,152,73355.6150806444
"3266","Polygala intermontana",3,3,73258.4166128121
"3267","Brodiaea coronaria",77,87,73232.6998207339
"3268","Carex lasiocarpa",18,25,73222.1265948731
"3269","Allium bisceptrum",113,142,73211.1150340931
"3270","Boechera pulchra",390,491,73143.8930798851
"3271","Sanicula laciniata",116,164,73098.3303807292
"3272","Erythronium revolutum",36,73,72967.826420681
"3273","Monardella candicans",27,40,72962.4348409377
"3274","Cryptantha milobakeri",52,69,72898.1005724356
"3275","Clarkia lassenensis",78,98,72883.4676602684
"3276","Penstemon monoensis",36,56,72875.2858697133
"3277","Astragalus bicristatus",91,175,72798.5129902653
"3278","Mimulus aurantiacus",2445,4411,72788.6031176185
"3279","Castilleja applegatei",1967,2915,72781.1359787237
"3280","Eremogone macradenia",349,547,72754.3113764664
"3281","Clarkia affinis",136,167,72711.6030350065
"3282","Stipa exigua",3,5,72684.362113126
"3283","Lupinus cervinus",32,55,72637.6054309353
"3284","Isocoma menziesii",815,1479,72622.1975409581
"3285","Datisca glomerata",449,625,72620.2113746455
"3286","Aconitum columbianum",374,557,72599.3595998604
"3287","Holocarpha macradenia",41,123,72572.7037377487
"3288","Calochortus albus",442,594,72562.4780821716
"3289","Bahiopsis laciniata",202,358,72520.9312048375
"3290","Eriogonum cinereum",130,237,72518.7898945894
"3291","Fritillaria liliacea",59,97,72443.4738045393
"3292","Polygonum spergulariiforme",201,302,72426.8411197463
"3293","Eriastrum wilcoxii",131,164,72422.9931629253
"3294","Brickellia incana",163,259,72416.5443200054
"3295","Coptis laciniata",22,31,72410.6905463716
"3296","Phacelia davidsonii",227,337,72400.131785984
"3297","Plagiobothrys scriptus",29,31,72398.8807112637
"3298","Phlox dispersa",23,41,72330.1614995749
"3299","Astragalus acutirostris",138,187,72321.4917980687
"3300","Phacelia ciliata",220,296,72299.9030471261
"3301","Colubrina californica",27,63,72263.5499223828
"3302","Senecio mohavensis",223,315,72166.054736377
"3303","Rorippa curvisiliqua",591,796,72139.3807758912
"3304","Plagiobothrys canescens",588,844,72124.7073105217
"3305","Allium platycaule",90,114,72121.1908496644
"3306","Nemophila maculata",129,175,72099.4021454457
"3307","Pellaea brachyptera",146,207,72062.095188834
"3308","Rhododendron macrophyllum",192,266,72027.8066803534
"3309","Stenotus acaulis",158,236,72014.2122900495
"3310","Streptanthus barbiger",63,120,71914.9033798325
"3311","Allophyllum glutinosum",361,493,71906.200691993
"3312","Wyethia glabra",82,110,71872.34544285
"3313","Hecastocleis shockleyi",14,29,71816.6834225117
"3314","Pseudognaphalium microcephalum",346,472,71814.9098127059
"3315","Ivesia arizonica",3,4,71748.1422215509
"3316","Asclepias californica",302,402,71732.6265137142
"3317","Linanthus demissus",158,190,71695.3785456558
"3318","Eriogonum plumatella",201,322,71674.7975618066
"3319","Trillium albidum",85,95,71666.4098284413
"3320","Hackelia setosa",9,20,71565.0077581291
"3321","Lycium californicum",99,173,71554.5855802595
"3322","Viola primulifolia",16,27,71500.7583595915
"3323","Leptosiphon ciliatus",634,831,71486.5219396204
"3324","Perityle emoryi",627,983,71460.5884882149
"3325","Amaranthus watsonii",9,11,71369.4929134211
"3326","Melica fugax",157,237,71318.3001545004
"3327","Calystegia subacaulis",126,175,71236.9221995365
"3328","Navarretia filicaulis",83,122,71142.1427744181
"3329","Astragalus insularis",63,92,71132.7305841627
"3330","Acmispon maritimus",577,775,71127.0387889087
"3331","Phacelia tanacetifolia",482,618,71095.2664962945
"3332","Baccharis salicifolia",1197,1777,71067.9435499801
"3333","Perideridia pringlei",103,160,71059.2703556544
"3334","Myrica hartwegii",39,82,71027.2006880241
"3335","Caulanthus anceps",47,93,71025.7307115592
"3336","Hymenoxys odorata",15,36,70987.0129834973
"3337","Fraxinus latifolia",372,535,70924.3760696614
"3338","Asarum hartwegii",112,146,70901.5323028388
"3339","Camissonia kernensis",111,204,70858.6711802261
"3340","Ludwigia repens",13,31,70846.2470793004
"3341","Viola tomentosa",46,88,70826.4694710269
"3342","Clarkia gracilis",303,432,70818.7162806184
"3343","Lathyrus brownii",35,49,70813.0279516574
"3344","Cryptantha angustifolia",851,1117,70809.4231243331
"3345","Horkelia tridentata",253,346,70707.2079982982
"3346","Camissoniopsis hirtella",747,972,70631.3126332327
"3347","Gilia tenuiflora",152,252,70623.9048062096
"3348","Eryngium jepsonii",8,14,70623.8592330964
"3349","Eriogonum prattenianum",44,69,70615.2451657084
"3350","Carex albonigra",25,33,70593.9544181291
"3351","Malacothrix floccifera",421,571,70541.3941760574
"3352","Senna covesii",50,80,70401.9095343632
"3353","Dudleya multicaulis",91,143,70397.3247233303
"3354","Lupinus benthamii",187,240,70385.4179703169
"3355","Ipomopsis aggregata",371,483,70377.7025010724
"3356","Cryptantha micrantha",679,897,70377.5124869271
"3357","Cylindropuntia prolifera",79,122,70377.3000730618
"3358","Trichoptilium incisum",298,377,70307.660977425
"3359","Eriogonum rixfordii",28,38,70249.5296386169
"3360","Physaria tenella",110,177,70243.656009877
"3361","Vancouveria hexandra",75,93,70231.2330091966
"3362","Mortonia utahensis",58,115,70174.6506268907
"3363","Sisyrinchium idahoense",76,94,70156.6704122292
"3364","Asarum lemmonii",41,69,70156.0065574341
"3365","Antirrhinum kelloggii",262,336,70089.9206680446
"3366","Trillium ovatum",265,360,70068.0181092408
"3367","Erigeron aequifolius",7,9,70043.2289952069
"3368","Trifolium cyathiferum",162,199,70036.8316954526
"3369","Mimulus montioides",151,214,69924.223222979
"3370","Sidalcea malviflora",584,899,69897.9565622719
"3371","Romanzoffia tracyi",13,25,69876.6563493374
"3372","Pseudognaphalium macounii",15,16,69841.9033359661
"3373","Lepidium fremontii",591,917,69840.7063976252
"3374","Marah horrida",36,47,69824.8649648163
"3375","Tetradymia axillaris",299,426,69822.2753154941
"3376","Mimulus brevipes",384,483,69800.9135308649
"3377","Smilax jamesii",25,31,69791.4891394394
"3378","Salix sitchensis",274,688,69787.0933275115
"3379","Ribes viscosissimum",327,476,69746.7549587845
"3380","Astragalus crotalariae",173,282,69744.2138681657
"3381","Trifolium ciliolatum",610,796,69741.9120588785
"3382","Linanthus orcuttii",35,46,69640.1476974932
"3383","Urtica dioica",600,792,69626.3431656613
"3384","Keckiella antirrhinoides",577,960,69446.995256845
"3385","Synthyris reniformis",45,58,69432.803558891
"3386","Horkelia fusca",304,447,69353.0581583073
"3387","Mimulus tricolor",149,208,69328.4179587733
"3388","Thelypodium howellii",11,23,69205.3639218653
"3389","Rubus ursinus",965,1478,69135.5418521679
"3390","Baccharis sergiloides",248,430,69118.3138682612
"3391","Senna armata",381,529,69110.8692832791
"3392","Orthocarpus imbricatus",21,39,69099.6887632793
"3393","Stephanomeria parryi",107,134,68995.59380065
"3394","Plagiobothrys jonesii",187,245,68995.1676903409
"3395","Scirpus diffusus",40,67,68984.1175566788
"3396","Muilla maritima",440,570,68912.2738627411
"3397","Aristida adscensionis",581,828,68905.3854417296
"3398","Chylismia cardiophylla",238,340,68890.2102882787
"3399","Penstemon heterodoxus",532,835,68877.5255745307
"3400","Rosa bridgesii",161,212,68849.1008197027
"3401","Ceanothus dentatus",88,186,68844.0372756608
"3402","Potentilla pensylvanica",36,57,68784.5643013622
"3403","Penstemon spectabilis",445,616,68776.1920445517
"3404","Eryngium alismifolium",48,65,68766.0415200313
"3405","Castilleja affinis",1083,1634,68762.2279624201
"3406","Bulbostylis capillaris",50,92,68761.2147329474
"3407","Lithospermum ruderale",49,63,68760.168225586
"3408","Navarretia rosulata",17,27,68741.6858430229
"3409","Phacelia bolanderi",108,139,68725.4406709677
"3410","Trifolium gracilentum",514,694,68724.7350476471
"3411","Madia citriodora",50,71,68707.0864627525
"3412","Sisyrinchium funereum",15,24,68703.7636715379
"3413","Calochortus macrocarpus",37,46,68670.9531560317
"3414","Toxicoscordion brevibracteatum",102,131,68571.0428819049
"3415","Anthoxanthum occidentale",188,266,68520.1015357955
"3416","Phacelia grandiflora",182,258,68519.4110773002
"3417","Vaccinium scoparium",28,46,68511.2523618205
"3418","Sidalcea neomexicana",53,103,68489.7534431275
"3419","Tidestromia suffruticosa",241,338,68486.6783496126
"3420","Thamnosma montana",443,729,68464.0983906683
"3421","Loeseliastrum matthewsii",407,496,68457.0492101342
"3422","Berberis nevinii",79,202,68413.4959167051
"3423","Eastwoodia elegans",123,226,68398.1256347534
